video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
MFHP-kEsj-k,"Th?i ti?t bi?n 17/09/2018: C·c ??o CÙ TÙ, B?ch Long V? giÛ gi?t c?p 6 | VTC14",177,News,TV,,,,,9/21/2018 3:20
9AnOOVuv1s4,Tr?c ti?p] B?n tin Ch‡o bu?i t?i ng‡y 03/09/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
4h_jGDsxUN4,Th?i ti?t 12h 17/09/2018: B„o s? 6 khÙng v‡o Vi?t Nam | VTC14,177,News,TV,,,,,9/21/2018 3:20
g6eolJVNd1U,"N?i th?t ""??c nh?t vÙ nh?"" l‡m t? 1 v?n chai th?y tinh | VTC14",177,News,TV,,,,,9/21/2018 3:20
wuxdFRY_RVg,Tr?c ti?p] B?n tin Ch‡o bu?i t?i ng‡y 02/09/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
nA1WUqCJmv4,Ph·t hi?n sai ph?m ? tr??ng ti?u h?c b? t? l?m thu 8 tri?u/1 th·ng | VTC14,177,News,TV,,,,,9/21/2018 3:20
ooKC9ZxoJns,"7 Ng??i ch?t, h?n 10 ng??i nghi s?c thu?c t?i l? h?i ‚m nh?c H‡ N?i| VTC14",177,News,TV,,,,,9/21/2018 3:20
TDtH2-gm6AQ,LiÍn t?c thay ??i l?ch h?c ñ loay hoay v?i gi?i quy?t qu· t?i s? s? ? H‡ N?i| VTC14,177,News,TV,,,,,9/21/2018 3:20
uKnPFFkSlFE,Ph·t tri?n gi·o d?c th? ch?t theo mÙ hÏnh Nh?t B?n | VTC14,177,News,TV,,,,,9/21/2018 3:20
Oa0dn0EtcpM,› t??ng t?o m?a trÍn sa m?c l?n nh?t th? gi?i| VTC14,177,News,TV,,,,,9/21/2018 3:20
IjLWAPF8PVg,Nguy c? l? quÈt ? mi?n B?c do ?nh h??ng c?a b„o s? 6 | VTC14,177,News,TV,,,,,9/21/2018 3:20
b-weIgx8pEk,Sohwakhaeng ñ tr‡o l?u s?ng m?i ? H‡n Qu?c| VTC14,177,News,TV,,,,,9/21/2018 3:20
eJ4I-v_Wm6E,Ng??i n??c ngo‡i kÈo nhau sang Vi?t Nam ch?a b?nh | VTC14,177,News,TV,,,,,9/21/2018 3:20
