video_id,title,contract_id,category,sub1,sub2,season,phase,series_name,created_at
6iMh3NS-gNU,CHUY?N TÌNH KHÔNG D? VÃNG_L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
6lAIjZQH7UA,KUNGFU B?O C??NG  ( tphcm ),412,Others,Others,,,,,9/11/2018 9:47
6ogbE2JY1Hs,CA S? H?NG QUYÊN,412,Others,Others,,,,,9/11/2018 9:47
6pHVg4SdEVk,Hòa T?u Careless Whisper  _ L? Tân Hôn HOÀI ÂN & ANH THI,412,Others,Others,,,,,9/11/2018 9:47
6rjZJ_aqF5c,EM HÃY V? ?I,412,Others,Others,,,,,9/11/2018 9:47
6xg35hQpOS8,V? NG?T ?ÔI MÔI _ SINH NH?T LÝ NHÃ K? ( BAN NH?C DI?N T? L??NG ),412,Others,Others,,,,,9/11/2018 9:47
7AwfTENH4hE,TRUNG THU C?A EM_GIÁO X? CÁI BÈ 2015.Bé th?t d? th??ng,412,Others,Others,,,,,9/11/2018 9:47
7FwkvLAm99M,NH? NG??I YÊU _ CA S? LÂM V?  L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
7L7Rn6o87js,TÌNH CHA,412,Others,Others,,,,,9/11/2018 9:47
7S_zFaVYUvM,SINH NH?T XUÂN HOA H?I T? TOÀN  HOT GIRL,412,Others,Others,,,,,9/11/2018 9:47
7V0tdhT5xwI,L? TÂN HÔN HOÀI ÂN & ANH THI,412,Others,Others,,,,,9/11/2018 9:47
2fAf1rk2ty4,XIN DÀNH TR?N CHO EM _ Ca s?  MAI TRINH,412,Others,Others,,,,,9/11/2018 9:47
C8gr4EuD2wk,PH?I LÒNG CON GÁI B?N TRE,412,Others,Others,,,,,9/11/2018 9:47
2hbAlOWvomc,ÁO M?I CÀ MAU _ l? 30/4,412,Others,Others,,,,,9/11/2018 9:47
-1a4kOLsGhY,H?I T??NG,412,Others,Others,,,,,9/11/2018 9:47
CALMOmLSXwE,(THÚY NGA M?NG SINH NH?T BÉ PHÚ QUÝ),412,Others,Others,,,,,9/11/2018 9:47
2m3KeZumnC0,M??I N?M ??I CH? _ A TH? TRÌNH BÀI _ TÂN HÔN THANH TÂN & THU TH?O,412,Others,Others,,,,,9/11/2018 9:47
CC8GzEwCeoo,L? VU QUY KIM HOANG & PH??C TH?NH_ THAO TH?C VÌ EM_DANH HÀI D?NG NHÍ ( tphcm ),412,Others,Others,,,,,9/11/2018 9:47
2wrPssj08Qs,Dancing All Night  DI?U THU _ VU QUY THANH HOA & THANH ?I?N,412,Others,Others,,,,,9/11/2018 9:47
CEAlyCFTMVM,TÌNH LÀ S?I T? _  ca s? Mai Trinh ( L? Tân hôn _ TH? HUY & THÚY LI?U,412,Others,Others,,,,,9/11/2018 9:47
CLCDfXrgOLI,L? VU QUY KIM HOÀNG & PH??C TH?NH _ SÓC S? BAI SÓC TR?NG _ V? DUY ( tphcm ),412,Others,Others,,,,,9/11/2018 9:47
-5kH_dU2xaE,DEMO MÁY QUAY SONY 4K CHU?N B? CHO SHOW ?ÁM C??I EM Y?N NHI.25/11/2016,412,Others,Others,,,,,9/11/2018 9:47
387oJeGOxXk,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
CNmXK_SSahs,XIN DÀNH TR?N CHO EM _ Ca s?  MAI TRINH  L? Tân hôn _ TH? HUY & THÚY LI?U,412,Others,Others,,,,,9/11/2018 9:47
38lE0GlL4wg,TÌNH NGHÈO CÓ NHAU _ ( L? TÂN HÔN H?NG LÂM & Y?N BÌNH ),412,Others,Others,,,,,9/11/2018 9:47
CQJSZcu5Bpg,N?I L?I TÌNH X?A _ l? 30/4,412,Others,Others,,,,,9/11/2018 9:47
39hhCGPiyH4,L? VU QUY C?M THÚY & ??O S?N,412,Others,Others,,,,,9/11/2018 9:47
CVo4B6Ea9wM,HOA CÀI MÁI TÓC _ QUAN TH?Y _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
Cb7TRX7WC8k,TRONG T?M M?T ??I _ NH?T PH??NG,412,Others,Others,,,,,9/11/2018 9:47
-5qAuM_dHFo,C?N M?A VÔ TÂM,412,Others,Others,,,,,9/11/2018 9:47
CjOgglBDLX8,L? ?ÍNH HÔN THÚY LI?U & TH? HUY ( S?U TÍM THI?P H?NG _ SONG CA ),412,Others,Others,,,,,9/11/2018 9:47
-6G69CJmSpk,HOA N? V? ?ÊM _ L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
CoEjy_uFTvo,VUI TRONG NGÀY C??I ( H?T CÔNG T? ),412,Others,Others,,,,,9/11/2018 9:47
-c3YosFHobg,XIN CÒN G?I TÊN NHAU,412,Others,Others,,,,,9/11/2018 9:47
CrXV3tUsdcE,NGÀY XUÂN VUI C??I ( TAN HÔN TH? HUY & THÚY LI?U ),412,Others,Others,,,,,9/11/2018 9:47
3Bmut09U4n0,HÒA T?U M? MÀN SHOW ?ÁM C??I C?M THÚY ?ÁO S?N _BÀ T?N,412,Others,Others,,,,,9/11/2018 9:47
0G6Csc1jETc,LÂU ?ÀI TÌNH ÁI,412,Others,Others,,,,,9/11/2018 9:47
D-1EFE1lgQ8,L?I T? TÌNH D? TH??NG _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
3CtVv53Kvpo,Soundcheck h?u tr??ng Ê-Kíp ban nh?c show s? ki?n ( Cty VLXD H?NG QUANG ),412,Others,Others,,,,,9/11/2018 9:47
0LKk5JH01ZU,?ÊM BU?N T?NH L?_V? khuya r?i bác này hát còn xung quá ( L? Tân hôn _ TH? HUY & THÚY LI?U ),412,Others,Others,,,,,9/11/2018 9:47
D2Fs7DRgoow,NGÀY XUÂN VUI C??I _ ANH TÚ ( hát giao l?u ti?c c??i ),412,Others,Others,,,,,9/11/2018 9:47
3ICMyLsEm1I,BÁNH XÈO QUANG VÂN,412,Others,Others,,,,,9/11/2018 9:47
0LtdhjZkrIg,H?I V? NGO?I THÀNH _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
3IReu_M_QVY,NG??I TÌNH KHÔNG ??N _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
0N3jPXrMqOg,NH? NG??I YÊU,412,Others,Others,,,,,9/11/2018 9:47
3M1m-cvLuEE,CHUY?N TÌNH KHÔNG D? VÃNG,412,Others,Others,,,,,9/11/2018 9:47
0QnnJw78CRA,SINH NH?T  L?N TH? 5 LÝ NHÃ K?  Con gái c?ng c?a v? ch?ng b?u show ( BAN NH?C ?I?N T? L??NG ),412,Others,Others,,,,,9/11/2018 9:47
DEG3wJc_eQg,M??I N?M ??I CH?  (H?u tr??ng Ê-kíp band nh?c)_L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
DETcShGH77Q,CÔ ??N MÌNH ANH _ TÂN HÔN ANH QUÂN & THANH VÂN,412,Others,Others,,,,,9/11/2018 9:47
3QOQOeW2Qhw,NÀO AI BI?T,412,Others,Others,,,,,9/11/2018 9:47
0QsgKjQDdqc,TÌNH ??P NH? M?_ mc Thúy An m? màn show  SINH NH?T LÝ NHÃ K? ( BAN NH?C ?I?N T? L??NG ),412,Others,Others,,,,,9/11/2018 9:47
3TFoosKqiOQ,VÌ L? TH??NG NHAU,412,Others,Others,,,,,9/11/2018 9:47
0RcWcvttpeo,ANH NUMBER ONE,412,Others,Others,,,,,9/11/2018 9:47
3TLLwZRNYUg,HÒA T?U ( Setup âm thanh ),412,Others,Others,,,,,9/11/2018 9:47
DFnWyYNCdbE,CHU?N B? R??C NÀNG V? DINH ( L? Tân hôn _ TH? HUY & THÚY LI?U ),412,Others,Others,,,,,9/11/2018 9:47
3Xf-8RDvlLQ,BAN NH?C ?I?N T? S?N_CÁI BÈ_TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
DH_IYWH04Zg,BÁNH XÈO QUANG VÂN,412,Others,Others,,,,,9/11/2018 9:47
3gVJ6Ew-cHU,C?N NHÀ M?NG ??C _( L? TÂN HÔN H?NG LÂM & Y?N BÌNH ),412,Others,Others,,,,,9/11/2018 9:47
DPKKsVfhrk4,XUÂN YÊU TH??NG  (THÚY NGA M?NG SINH NH?T BÉ PHÚ QUÝ),412,Others,Others,,,,,9/11/2018 9:47
3rWe2diUp0k,BAN NH?C ?I?N T? S?N CÁI BÈ_TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
DY5ouLxIfZk,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
0YLvK7C5SZE,CHÀNG TRAI SI TÌNH_?ÀN CA TÀI T? ?N TRÌNH BÀI,412,Others,Others,,,,,9/11/2018 9:47
DhshTmDQZXI,DUYÊN TÌNH,412,Others,Others,,,,,9/11/2018 9:47
DyXsGB5dVVs,V?NG TR?NG KHÓC _BÍCH TRÂM & TRUNG,412,Others,Others,,,,,9/11/2018 9:47
DzLYUl_6OJE,BAN NH?C ?I?N T? S?N CÁI BÈ_TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
