date,channel_id,video_id,claimed_status,uploader_type,country_code,estimated_partner_revenue,estimated_partner_ad_revenue,estimated_partner_ad_auction_revenue,estimated_partner_ad_reserved_revenue,estimated_youtube_ad_revenue,estimated_monetized_playbacks,estimated_playback_based_cpm,ad_impressions,estimated_cpm,estimated_partner_red_revenue,estimated_partner_transaction_revenue
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,9vPujd9azNg,claimed,self,FR,0.038,0.038,0.038,0,0.069,5,13.837,8,8.648,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,pSFWaT8ZpAI,claimed,self,ES,0.012,0.012,0.012,0,0.023,16,1.408,17,1.326,0,0
20190111,UCA3FSL2BxktwLHmlWkdmc4A,PYmZCEK2jl4,claimed,self,AU,0.001,0.001,0.001,0,0.001,2,0.651,2,0.651,0,0
20190111,UCq0mSKeROvWfBZxucSPYC_Q,ZyoloC1szIM,claimed,self,US,0.007,0.007,0.007,0,0.014,1,13.575,1,13.575,0,0
20190111,UCkBngOIJHGZSIQsrJ-ujIuQ,fuNspIco7hk,claimed,self,IN,0.002,0.002,0.002,0,0.003,7,0.395,7,0.395,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,8PVWQWCmirM,claimed,self,VE,0.001,0.001,0.001,0,0.002,3,0.593,4,0.445,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,AM5SjVncOOw,claimed,self,VN,0.001,0.001,0.001,0,0.001,1,1.292,1,1.292,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,aiMmVaXvscM,claimed,self,VN,0.044,0.044,0.044,0,0.08,83,0.97,95,0.847,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,BNMMvgYXlUU,claimed,self,AE,0.001,0.001,0.001,0,0.002,2,0.908,2,0.908,0,0
20190111,UCA3FSL2BxktwLHmlWkdmc4A,A-f88fj5b10,claimed,self,AU,0.006,0.006,0.006,0,0.01,1,10.038,1,10.038,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,5jXBbk80XQA,claimed,self,KG,0.01,0.01,0.01,0,0.018,9,2.049,10,1.844,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,44Gn_fQc_AU,claimed,self,SE,0.002,0.002,0.002,0,0.004,1,4.442,1,4.442,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,Li923v65O1Y,claimed,self,PH,0,0,0,0,0,1,0.44,1,0.44,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,yCVutXMebes,claimed,self,KR,0.016,0.016,0.016,0,0.03,2,14.799,3,9.866,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,pSFWaT8ZpAI,claimed,self,CH,0.005,0.005,0.005,0,0.01,13,0.751,13,0.751,0,0
20190111,UC_A4atmgIGQK_BLsnxjsCEw,A9q_symNPuw,claimed,self,TR,0,0,0,0,0.001,1,0.896,2,0.448,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,75MdXV0DnnA,claimed,self,US,0.137,0.133,0.133,0,0.242,73,3.31,73,3.31,0.004,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,ApMomxTaX6Y,claimed,self,VN,0.005,0.005,0.005,0,0.009,12,0.711,12,0.711,0,0
20190111,UCgBeh1ryYVPOj3F296pZQ8g,0BqjNlnxISM,claimed,self,VN,0.001,0.001,0.001,0,0.002,3,0.51,3,0.51,0,0
